corpus	nonce	classical	phase	ancilla	classical_shot_set_sha256
H64	444000000060	14	14	0	54fc7d3313d28d482f73e4847f5562ac8a8395af74b46a80107c6cdbfc5a80e3
H64	444000000061	11	9	0	0d9bd694ff212a692f1c1a6a56ecdec3f2b443b9a05ca26f8a73ef24f0d64d20
H64	444000000062	24	16	0	da40c44a772ad81cd44cd1cd3ff50e96632d9b1c773fb99c9daeb5255338b4ac
H64	444000000063	18	17	0	626da3986282ec13a9cc4a26f15d14ed6c429913417b149fb5e0ea6dc9362591
D32	24286084177923	14	9	0	9d387ffc5a898043e2d95a1e62b226553db39dc264749a5d819180bb25da4c2d
D32	28251334844141	17	16	0	6d09cd69d35ee19866cb03e6ead13f231a643436f7670295fd75373fc93a5346
D32	41201480331918	22	15	0	91ed45fbe71ef3eb5eca1424377cd35e4d930717a797805665e32b63c4a33b53
D32	44338139448830	20	16	0	cf8961b6f0dad26dfaa0899aaeb62366ec5d9a5bed116f5c66073d557ab63c12
D32	45789999625766	12	15	0	376db73350fa24551585ff7b6eeee8f93c160bc2c6c14bd553ef30be879562dd
D32	57081868455567	23	14	0	9d04e1f2c0b86315e90ccc92575326e030fc3b9c9952985e8a65a64445ca1440
D32	65027996597708	14	16	0	7d5475fff8959eed548dd9887282310e6cc7f35377fbb6d1439a13297b746492
D32	85161864821258	17	14	0	0c2f758f0d21f8782a91cc76ff56ccefce188a5927a6b010ec36a6c19e785273
D32	95158899961608	15	14	0	a7da6fb04ea2a4c8ac2e39306aa918e0e81db474e23df808c9bbb888ec9154d3
D32	97276106069237	9	11	0	0c4c7907bfec9bb359f6b237636ac3ceae4262ba71ad7b8c1b1a743349767615
D32	103571274894667	14	7	0	d1249bcb0f10c09cbe267ec33477b183657b2961a5bbf848a4e0f0f37e83031e
D32	110829611625100	15	15	0	039c4ef80dfe3f295716db8df41081da2c298eae2a921f366904a5646633b0d7
D32	112002740465934	11	11	0	94692cb6848821ff63d2c2b5298268d796d10f23e3201e451edd643aabd0a225
D32	117380101263069	12	9	0	ef4873b08112a4a4c832726da905712a3b9b7038c07798aa94ee1c402da441f3
D32	122402217856381	9	14	0	728160c53216539fedcd0359e6f246d790383afe836cf2168fb7925082ef94d9
D32	122682803995327	18	19	0	1d8d656fa77ae4138c2a683b3880356fb7bdb6c00f3fdf2856dd6d3ffb3476ba
D32	135557031319473	12	13	0	81808fb46ad475b8091ca743aadaf29d8ab449a081ef197848d905231f02f19c
D32	139864177729266	26	15	0	2c583c07aeb56ceab708bdee8cfdd400215c8e5a4459ff60f8807321e79a408c
D32	160842507155845	13	16	0	22786897226cec3e8cf2ff9784dcc0f45181e442269df1f716169e7d5edcb7c4
D32	170868413505426	15	9	0	75336303a9351cbdb74389f54d2bd72497d8342b5d653bf9faa3862d1101f1ae
D32	172956667258075	23	21	0	5a4c7de4d0c311c0910d6e952bdbd2b2faac6e532a557f501ffc46086868a62b
D32	191215281597987	14	15	0	6b7f3f4d53f5b7e78fafb5579b44fdd7111b540aaf4af370a4c44db667a6f3eb
D32	219262584482975	24	15	0	71a94aad922ce5729a8c2ad5700924811da9d58bdea8496178fd842d556c6307
D32	219670165985461	18	12	0	026db144374d97df948088d4ac98bff58f2a467712b49abe0df792ee79caba0a
D32	226479247224255	13	11	0	094ee95767624f75e502a08bafb4b4db20b630b7e106ec6de79c1058aa541b5b
D32	235360061704396	16	14	0	490f96046a6b902408005e53b000290d71f1a5e6323fb3496e82a666c34ce052
D32	237029123613095	15	11	0	ff558b08f721a361f1cb904402a982f51f1cfd26a8e574da2b57f22139182bb5
D32	242786175545613	23	17	0	b0bad3c07f5b581105da2a4600851847875cbe81637ef018fc0d57d0ddc03dd1
D32	257960094832311	18	14	0	09b571c321b4dc589bd7d046e94382d58b2364910556ad8bb29cb811a085d511
D32	267314770524256	18	19	0	b9310d02507826571f59891afb2fb805b782867843bb0ca282ebe7324e64cbdc
D32	276344596138707	15	13	0	a5d51e05a4248db0e1ade59885c65a3ec1e3a081d3b863e5300349ae63949845
D32	279613259530974	18	14	0	81de6da4823c7befa964f75915c3f156c55440a26b78cfc0c3a352bc7015a329
