# corpus	nonce	expected_count	mask_sha256	raw_sha256
d16	730080000824	16	244efe5b8f5ec2a285de039a4d3ea93de259f9ec1bc3b863fea902b5fe6ff260	e07e5d5fd160dda26bc436eb635d44343ebc66aab41d1ef5866a44353c021967
d16	730090000927	11	cdc533988713481e1bab42944b7bb809e5f780a552413145d60f11a295c3c116	debab3bf570d67d237be220ce3ac231058930ae5384438b54b5053928ab59967
d16	730100001030	19	598d73d5f6039bebfa9d6e218aaaee1ea2250b8b4bf1614c00ed0517304c41b0	a712aecf9eb90844b6e35bc2fcd674f8499bf0350f73aa610748433804b83c6f
d16	730110001133	19	46bab2c0174f671ef8abf7e010edc20ef44f32eeb626a4ada9bfb85812e17026	a3d0fd8ff6fcb0ba79ba032b9e5bfa8c69db6faf346f3e25e878ecebca609483
d16	730120001236	15	7965b1250384ea2e014206246ef2b8642619ddfb8efa2d699e87b2b837c61a6b	9795a238c457b0258ee98c295a8728ac7946e7617d76093f7702ce3781b77023
d16	730130001339	12	480831a0db836f06d9380f0fc641e17327dd1125f4093d96a61e0b40dfdae719	cb60be78a74275e92d6a13bca6e9d23a49af57b658e8bba3f415ab2d9611b634
d16	730140001442	19	fd7744b179e46d282ed9b4a22a8feb33cc6ff9ccf26ca86e52c09275678c6347	f067335db370d0accb12f21ff40bf0e26795765a98d7822a4f68fda2369cfa77
d16	730150001545	16	f73b2b1b99e442e55a736530c4cef1884a3d313ae64e2f6e527133a9def13213	cc6aa99d5013d98571a1e8159256b6e018a9806d13a63600047226dd58dae32f
d32	124196685528108	11	c4e1cb2ad3f301db78b730b970b47e9d52c5ee1255342542ad7331057822f57f	a3bfc13e221b1d8609715ab0d4e521489127b6e2048186e852436cecdf4fe50e
d32	210701819482265	18	dd95d2e9e96a43b8b770dacb1338db918427cc4ca733efed4fce3d5ed2dac0da	5ca96abb22db99ae944c00991acb621dbff08118b710a2a941e9dedc6d20ab2e
d32	42883374207299	18	5048d1179c3548f29b81808d2713ba01c380e162389cc3dc7d51596768385482	0d1cdb501b344e6dcc75e0a927e6ac90af43f06546350c40806159c08b7be96b
d32	261908226449336	20	e70f353705d15cc1176ef21201165009d506972cc7df24c31b3a651d7866b620	ecba90481a0127c555acaa1fdb7b68cc04b4ab1ba81ccbea292b7511ff821a6f
d32	137760187172299	17	3514d5065043ba1e869b123964b52c8d3590849c36cc4ab9dd229a6dfdb0a6d5	000aed4890905b630b1151c3210180075240c12660f87732efdc3f4d6c241130
d32	125245564080868	13	d99491fec249b52ff08f867a369d33c1d3fae3a2939a2994dc81c6f1eeb2ee2f	64185c662bcfcfacb7525d45497791c488c5542caaa159c0970ee3a27996d6ef
d32	51556497576218	8	df68859a5c97a0facb6feb5664548aa44dd6f5009fb7a551fd24468f3cfaa948	38761286723181b27c0ee8da798f9394c7a1458330f0776d731994568f3868de
d32	22111760600179	18	84548259a3610b1abaa76f025a60f8ef35f034b97b20a2570e847feca346b85a	cacfcc26a3cd9c95fa8ff5b38bb8e3967013b21eb6cdd28b5b50dc207d96385d
d32	132155986174020	21	a372117f50a81c0c08afdda911fbc4a6df37cd33bba2664a026c0cfdc65a63ec	225a206d19093c8a50f1aa0695034e9a8c973d18828316d23984487cd3dc8dd7
d32	5707814734409	16	a127fb796c8c297dad3f0c9a4b05b4cc035a23b71807c8caa65c4dfbd98579c6	3a54d308a22a57d91a333791f994492362f525a2593e4abd1f9e6493c786e42a
d32	232149491038744	16	05047900522260f4e36922fb1e7d91165bfcddbfba838f0269ae6919a81d5fc1	8d6e3fdc1dbffb2e3cbd435d6349d3de6fa6e014942f8b0e784cfc4fb79e77b3
d32	274736799921984	15	ea2ff5d430e1cdbe96022aaa50ebf202570bbef3166bf18de8e9adbccff9795d	43e7558ca6b93b0deb866b58d7ec0b3496a3b59c8b611931a7db1e374f8e1964
d32	44412552446227	10	d8121b7d4621f78ad7799c7d347f8dec38f181cc593a6ae10d29fb35559f8061	cb5361fe786eef4d096667cb866f758508194f1ada759449da1ebc0c714162bc
d32	264017793226248	14	5768b905869f91a7c04d9bfb58ec9ff789f371aeeb26f7033edc6c22f85b94c8	3e825a43acd3ba55a25b099a1c914b8d7e4a51096f19aa414b4ff2c00f8fe2ee
d32	64673186858966	9	a55d5c38967cd0640c1adc7adb3151ea41d998e5490515197e99b9af6459e0f9	030eac169ae44d42e00cd661aa7d23af81914c47ae76b99e5fe2230074274d1f
d32	64825745130396	16	7403daca0d67ed5e77da120c16de34470e9ddbb4913c63d5c7dd807bb2693ded	52f53a031ad2de35c3612858d05adc5c9de6feb28647c485e60fe45864192264
d32	134724793620052	11	17ded7778e3e73212f0ab22d8cabfa78ead6b5f71b3f6dc7bb56fdbbeb347ade	31cf1f1fa8796665fa76659fd8a0f0f9f261c04b9a9805f1fbbc0a86a3020f50
d32	139143931656410	18	a501a64edb04f1d0291ce82804455dd94387917bbefc26e76effc3f06046fec7	c2b00c7421093abc8663410ac1a85e6c78db6d1f142ce42add5e0ae2f79885d5
d32	71491542784709	13	4d60e85e1b770e491b98fe2073a715de51a47a14f1e2e8c768ce1ba7e24e9707	c67921747d2c6a2ccc293a4c34397026d91b47d599cd6f5c81b008eee024e1e2
d32	208976324854949	13	cb75a6aab3dcc44223190d935fa8449b5ae369fb083e249c27e5627da6f89207	92d0b866af26e2c44469b106bc8dcb57671df9abe88aa3011498a035b7dbad49
d32	38402692441864	20	cf41998564acd8a1cbc7e833ead4cc4a5ca570d95f287ed689f6b66decee9c5d	856f5d529c05f6fa36db1412888d1d24ca779d9d975000ebfa6bdbba9505f448
d32	134885401364862	23	72331b4a601bf696b8dfe9b2f81f587fc3e4e879182c6c46ac827c30ef0e4ee9	6886905286ca995f50ad778f6a0beefabf0f2cf4c91ccc9b51f959434135604a
d32	107819975157333	13	0d4a8f520a089d81ddeaa9144a264fc295ac4cb62f6b30d0d8d636be60a17655	c8407d2c05f3872702ddda11d58d85d105d92cdfafb45968a7763ce21912b840
d32	122015081342537	9	d169ef2a2aea03a60d91dbf349cc02c011b3de3b81806f16ac9c435532a571ce	b9e75dc9a392bfc1e1b0488ec37115d644e5be3630b354ca938f060275aef116
d32	155520774987346	15	8fdc9d80228b82d8a967187c19399cef27ce233ed42694ada8aa9e90cf559744	b59fc12e1ac8855ec9e9806188a6f07d321009799868ee7a23ab27fe74be6d14
d32	150276762735100	16	9f5485ac9a6fa9f871ed031c996888418695f52bfc153f073c7c67f7eba8cb6d	b42309c701dcaefbedfd5675c0c729a775c51bcbfca03a04bedbd06a1f55d77b
